attage,sex,smoker,exposure,actual_dths,expected_dths,actual_mort,expected_mort
58,U,U,85.2573,0,0.46999,0,0.005512607
59,F,N,3352.6328,10,13.70178,0.00298273,0.004086872
59,F,S,703.4579,2,5.99154,0.002843098,0.008517269
59,F,U,1715.9867,5,9.64349,0.002913775,0.005619793
59,M,N,5357.9059,20,26.5005,0.003732802,0.004946056
59,M,S,1108.2115,6,11.72277,0.005414129,0.010578098
59,M,U,2754.7656,19,18.54094,0.006897139,0.006730496
59,U,N,170.0003,1,0.77504,0.005882343,0.004559051
59,U,S,23.4495,0,0.22832,0,0.009736668
59,U,U,70.3441,0,0.46262,0,0.006576529
60,F,N,3253.1554,6,14.64432,0.001844363,0.004501574
60,F,S,674.7633,2,6.45898,0.002964002,0.009572216
60,F,U,1644.8645,9,9.82886,0.005471575,0.005975483
60,M,N,5361.1179,25,29.55207,0.004663207,0.005512296
60,M,S,1161.9109,8,13.43693,0.00688521,0.01156451
60,M,U,2799.1966,18,20.87137,0.006430416,0.0074562
60,U,N,126.3406,0,0.65055,0,0.005149176
60,U,S,25.5472,0,0.27279,0,0.010677883
60,U,U,71.5334,0,0.48447,0,0.00677264
61,F,N,3311.3937,5,15.80167,0.001509938,0.004771909
61,F,S,671.3064,5,6.99846,0.007448164,0.010425135
61,F,U,1699.9766,8,11.07926,0.004705947,0.006517301
61,M,N,5126.0338,15,30.68065,0.002926239,0.005985261
61,M,S,1122.7043,10,14.09352,0.008907065,0.01255319
61,M,U,2989.0265,19,24.9649,0.006356585,0.008352184
61,U,N,129.4879,0,0.73744,0,0.005695049
61,U,S,28.2976,0,0.32238,0,0.011392486
61,U,U,89.0732,1,0.65217,0.011226721,0.007321731
62,F,N,2893.4677,9,15.2744,0.003110455,0.005278925
62,F,S,745.8276,3,8.44739,0.004022377,0.011326197
62,F,U,1706.9854,9,12.25364,0.005272453,0.007178527
62,M,N,5122.0177,22,33.70061,0.004295182,0.006579558
62,M,S,1146.7921,11,15.78365,0.009591974,0.013763305
62,M,U,3049.0251,27,27.59371,0.00885529,0.009050011
62,U,N,160.3588,0,0.95578,0,0.005960259
62,U,S,34.663,0,0.47827,0,0.013797709
62,U,U,83.0378,0,0.70999,0,0.008550202
63,F,N,2816.1322,9,16.05177,0.003195873,0.005699935
63,F,S,665.3791,6,7.98414,0.009017416,0.011999385
63,F,U,1809.4303,8,14.07255,0.004421281,0.007777337
63,M,N,4811.6695,20,35.48048,0.004156561,0.00737384
63,M,S,1189.5348,10,17.6886,0.008406648,0.014870183
63,M,U,3062.3275,19,30.83487,0.006204431,0.010069096
63,U,N,123.3944,2,0.84524,0.016208191,0.006849906
63,U,S,33.6281,1,0.48168,0.029737035,0.014323735
63,U,U,153.0783,0,1.32522,0,0.008657138
64,F,N,2671.0601,7,16.57881,0.002620682,0.006206828
64,F,S,600.6059,2,8.01367,0.003329971,0.013342643
64,F,U,1657.7457,10,13.74955,0.006032288,0.008294125
64,M,N,4540.8211,22,36.53596,0.004844939,0.008046113
64,M,S,1159.5203,13,19.07952,0.011211533,0.016454667
64,M,U,3226.7535,29,35.42603,0.008987361,0.010978846
64,U,N,108.7975,1,0.76152,0.009191388,0.006999426
64,U,S,32.8084,0,0.50817,0,0.015489021
64,U,U,76.8907,1,0.78947,0.013005474,0.010267432
65,F,N,2588.5595,14,17.6913,0.005408413,0.006834419
65,F,S,594.3917,3,8.48449,0.005047177,0.01427424
65,F,U,1545.4925,11,13.88795,0.007117472,0.0089861
65,M,N,4321.768,28,38.844,0.00647883,0.008987988
65,M,S,1161.4394,16,21.16197,0.013776009,0.018220468
65,M,U,3224.1561,35,40.0327,0.010855554,0.012416489
65,U,N,106.5711,1,0.83576,0.009383407,0.007842276
65,U,S,17.0829,0,0.29103,0,0.017036335
65,U,U,97.3928,0,1.04506,0,0.010730362
66,F,N,2237.3984,18,16.13855,0.008045058,0.007213087
66,F,S,524.9337,3,8.30988,0.005715007,0.015830342
66,F,U,1470.5337,11,14.33095,0.007480277,0.009745407
66,M,N,4115.9581,32,40.68937,0.007774618,0.009885759
66,M,S,1124.6154,18,22.03972,0.016005472,0.019597562
66,M,U,3398.7909,30,45.95393,0.008826668,0.01352067
66,U,N,136.9926,3,1.22074,0.021898993,0.008910992
66,U,S,24.2689,1,0.44384,0.041204999,0.018288427
66,U,U,105.5449,1,1.32358,0.009474641,0.012540445
67,F,N,2135.0513,9,17.09988,0.004215355,0.008009119
67,F,S,582.2127,10,9.54588,0.017175853,0.016395864
67,F,U,1623.1895,8,17.19557,0.004928568,0.010593692
67,M,N,3889.7957,27,42.46889,0.006941239,0.010918026
67,M,S,1006.7654,12,21.95354,0.011919361,0.021806014
67,M,U,3173.5803,39,47.90143,0.01228896,0.015093814
67,U,N,101.0146,0,1.05731,0,0.010466903
67,U,S,24.7238,0,0.46549,0,0.018827607
67,U,U,79.3395,1,1.10087,0.012604062,0.013875434
68,F,N,1959.2945,10,16.8106,0.005103878,0.008579925
68,F,S,541.7726,6,9.74697,0.011074757,0.017990888
68,F,U,1446.4672,14,16.67639,0.009678754,0.011529048
68,M,N,3564.7811,33,43.07697,0.00925723,0.012084044
68,M,S,1057.9867,18,24.8989,0.017013446,0.023534228
68,M,U,3269.8765,50,54.93816,0.015291097,0.016801295
68,U,N,107.3533,1,1.10928,0.009315037,0.010332985
68,U,S,25.5108,0,0.69915,0,0.02740604
68,U,U,80.1571,2,1.16742,0.024951002,0.01456415
69,F,N,1880.4523,7,17.61162,0.003722509,0.00936563
69,F,S,509.6333,8,9.95258,0.015697561,0.019528904
69,F,U,1514.7483,12,19.13591,0.007922108,0.012633063
69,M,N,3324.2683,41,43.81,0.012333541,0.01317884
69,M,S,980.5786,15,25.45905,0.015297091,0.025963294
69,M,U,3208.9873,33,57.78265,0.010283618,0.018006506
69,U,N,89.575,1,1.14542,0.011163829,0.012787273
69,U,S,30.1104,0,0.73664,0,0.024464637
69,U,U,100.9885,0,1.74816,0,0.017310486
70,F,N,1701.246,8,17.65307,0.004702436,0.010376553
70,F,S,467.2984,4,9.73048,0.008559841,0.02082284
70,F,U,1459.5343,15,20.02709,0.010277251,0.013721562
70,M,N,3179.7081,29,45.80164,0.009120334,0.014404354
70,M,S,869.0806,17,23.89944,0.019560901,0.027499682
70,M,U,3228.2689,55,64.03674,0.017036995,0.019836247
70,U,N,95.771,0,1.21552,0,0.012691942
70,U,S,24.1719,1,0.61341,0.041370352,0.025376987
70,U,U,97.3437,0,1.80057,0,0.018497037
71,F,N,1634.5451,16,18.9233,0.009788656,0.011577105
71,F,S,421.0978,6,9.7541,0.014248471,0.023163503
71,F,U,1426.5321,15,21.36977,0.01051501,0.014980224
71,M,N,2815.9124,28,45.84873,0.009943491,0.016282016
71,M,S,895.0863,22,27.27229,0.024578636,0.030468894
71,M,U,3214.9431,48,69.7818,0.01493028,0.021705454
71,U,N,63.5867,0,0.84818,0,0.013338953
71,U,S,32.0008,0,0.94474,0,0.029522387
71,U,U,99.4693,2,2.05406,0.020106706,0.020650191
72,F,N,1490.1631,11,18.09006,0.007381742,0.012139651
72,F,S,405.287,8,10.33278,0.019739098,0.02549497
72,F,U,1436.8163,19,23.32122,0.013223681,0.016231177
72,M,N,2739.0853,33,49.68802,0.012047818,0.01814037
72,M,S,824.6588,28,26.98056,0.033953436,0.03271724
72,M,U,3307.8268,48,78.74658,0.014511038,0.023806138
72,U,N,70.3156,0,1.10152,0,0.015665372
72,U,S,21.4022,1,0.60774,0.046724169,0.028396146
72,U,U,108.9945,1,2.34303,0.009174775,0.021496773
73,F,N,1405.8184,20,19.35105,0.014226589,0.013764971
73,F,S,398.804,6,10.50672,0.015044985,0.026345573
73,F,U,1369.8865,20,24.78992,0.01459975,0.018096331
73,M,N,2564.238,29,51.6521,0.011309403,0.020143255
73,M,S,829.4708,28,29.60753,0.033756463,0.035694481
73,M,U,3345.5396,68,86.88324,0.02032557,0.025969873
73,U,N,68.3383,0,1.18895,0,0.017398004
73,U,S,23.3637,0,0.87111,0,0.037284762
73,U,U,74.3696,3,1.74686,0.040339063,0.023488899
74,F,N,1302.2236,12,19.36738,0.009215007,0.014872546
74,F,S,421.0398,7,12.7319,0.016625507,0.030239184
74,F,U,1303.4601,26,25.52567,0.019946909,0.019583008
74,M,N,2406.6607,30,54.16971,0.012465405,0.022508246
74,M,S,794.3553,19,31.48748,0.023918768,0.039639038
74,M,U,3182.7477,68,91.56796,0.021365187,0.028770097
74,U,N,61.0501,3,1.28074,0.049139969,0.020978508
74,U,S,21.2976,1,0.76682,0.046953647,0.036004996
74,U,U,71.4477,3,1.89992,0.041988755,0.026591759
75,F,N,1219.9549,8,20.46155,0.006557619,0.016772382
75,F,S,374.7689,11,11.66188,0.029351422,0.031117523
75,F,U,1330.1709,18,28.1169,0.013532096,0.02113781
75,M,N,2199.5894,47,55.40459,0.021367624,0.025188606
75,M,S,853.1007,22,36.92987,0.02578828,0.043288993
75,M,U,3135.6164,72,100.03958,0.022961992,0.031904279
75,U,N,53.6791,0,1.17465,0,0.021882818
75,U,S,25.5687,1,1.00715,0.039110318,0.039389957
75,U,U,66.0664,3,1.89785,0.045408861,0.028726403
76,F,N,1176.1407,15,21.4064,0.012753576,0.018200544
76,F,S,384.1991,13,13.34121,0.033836623,0.03472473
76,F,U,1421.6242,29,33.20154,0.020399203,0.023354653
76,M,N,2140.0672,22,60.05312,0.010280051,0.028061324
76,M,S,719.6233,25,33.84856,0.034740398,0.047036498
76,M,U,3194.0657,86,112.30312,0.026924931,0.035159928
76,U,N,68.986,1,1.57354,0.014495695,0.022809556
76,U,S,21.5926,0,0.99256,0,0.0459676
76,U,U,81.4138,2,2.82175,0.02456586,0.034659358
77,F,N,1146.4919,15,22.89467,0.013083389,0.019969326
77,F,S,350.8225,4,13.73082,0.011401777,0.039138938
77,F,U,1495.7418,25,38.7933,0.016714115,0.025935827
77,M,N,2121.2706,47,66.16445,0.022156532,0.031190952
77,M,S,728.2078,25,37.40129,0.03433086,0.051360738
77,M,U,3289.7001,109,127.08703,0.033133719,0.038631798
77,U,N,47.6074,1,1.2893,0.021005138,0.027081924
77,U,S,17.2108,0,0.82139,0,0.047725266
77,U,U,101.5205,3,3.52827,0.029550682,0.034754261
78,F,N,1035.2929,13,23.41424,0.012556833,0.022616054
78,F,S,369.8084,14,15.3495,0.037857442,0.041506629
78,F,U,1473.1787,43,41.73153,0.029188584,0.028327541
78,M,N,1875.5699,47,64.75471,0.02505905,0.034525351
78,M,S,784.7526,35,44.38532,0.044600043,0.056559634
78,M,U,3418.6786,104,148.21631,0.030421111,0.043354854
78,U,N,42.6704,1,1.19733,0.023435449,0.028059967
78,U,S,19.075,0,0.95673,0,0.050156225
78,U,U,84.3053,3,3.45496,0.035584951,0.040981528
79,F,N,983.24,17,24.44026,0.017289777,0.024856861
79,F,S,336.3375,12,15.48876,0.035678448,0.046051243
79,F,U,1539.7943,46,47.39581,0.02987412,0.030780611
79,M,N,1732.1083,51,66.76279,0.029443886,0.038544235
79,M,S,699.2109,42,42.63331,0.060067713,0.060973463
79,M,U,3398.2468,119,162.21748,0.035018057,0.047735638
79,U,N,59.4826,3,2.10629,0.050434917,0.035410187
79,U,S,17.0355,0,0.78166,0,0.045884183
79,U,U,115.7693,4,4.79222,0.034551474,0.041394567
80,F,N,934.7897,16,25.47302,0.017116149,0.027250001
80,F,S,295.3402,12,14.14286,0.040631109,0.047886674
80,F,U,1550.4836,38,52.44495,0.024508482,0.033824898
80,M,N,1616.9106,47,69.95521,0.029067779,0.043264736
80,M,S,770.9552,31,50.59998,0.040209859,0.065632841
80,M,U,3162.3663,149,167.42717,0.047116616,0.052943636
80,U,N,49.2695,1,1.88428,0.020296532,0.03824435
80,U,S,15.6769,0,0.92398,0,0.058938948
80,U,U,91.7006,2,4.3041,0.021810108,0.046936443
81,F,N,828.95,15,24.98915,0.018095181,0.030145546
81,F,S,302.0185,18,16.27618,0.059598998,0.053891334
81,F,U,1557.9442,54,58.68583,0.034661062,0.037668762
81,M,N,1483.5569,48,72.80652,0.032354674,0.049075651
81,M,S,755.4229,38,54.92459,0.05030295,0.072707076
81,M,U,3275.053,156,191.93998,0.047632817,0.058606679
81,U,N,50.4933,1,2.01028,0.019804608,0.039812807
81,U,S,25.535,1,1.87505,0.039161935,0.073430585
81,U,U,72.0873,2,3.7993,0.027744138,0.052704152
82,F,N,837.5939,20,28.09858,0.02387792,0.033546782
82,F,S,300.3632,17,17.84882,0.056598145,0.059424124
82,F,U,1327.0298,54,55.47597,0.040692379,0.041804615
82,M,N,1357.4202,53,74.32267,0.039044652,0.054752883
82,M,S,641.0458,34,52.2445,0.053038332,0.081498857
82,M,U,3171.707,162,204.61564,0.051076597,0.064512781
82,U,N,34.68,2,1.6215,0.057670127,0.046756055
82,U,S,25.431,0,2.01462,0,0.079219063
82,U,U,116.6385,5,6.83908,0.042867492,0.058634842
83,F,N,761.6293,20,28.50098,0.026259494,0.037421066
83,F,S,283.8167,16,17.68723,0.056374413,0.062319201
83,F,U,1460.5928,63,66.28068,0.043133172,0.045379301
83,M,N,1140.8344,44,69.41293,0.038568262,0.060844002
83,M,S,717.2597,37,63.48235,0.051585221,0.088506785
83,M,U,3123.247,157,222.39143,0.050268198,0.071205201
83,U,N,36.059,2,1.95042,0.055464655,0.054089686
83,U,S,16.0157,1,1.16269,0.062438732,0.072596889
83,U,U,85.9095,3,5.5748,0.034920469,0.064891543
84,F,N,661.2237,23,27.34902,0.034783992,0.041361222
84,F,S,273.5946,14,18.93955,0.051170601,0.069224868
84,F,U,1291.0866,64,65.7337,0.049570648,0.050913471
84,M,N,1035.6517,51,69.35286,0.049244355,0.066965429
84,M,S,583.78,34,55.91133,0.058241118,0.095774658
84,M,U,2980.1379,185,233.17637,0.062077664,0.078243483
84,U,N,21.466,0,1.18933,0,0.055405292
84,U,S,22.5795,1,1.97936,0.04428796,0.087661817
84,U,U,93.7511,8,6.44023,0.085332332,0.068694981
85,F,N,586.4175,27,26.56832,0.046042282,0.045306151
85,F,S,258.4936,17,18.96878,0.065765651,0.07338201
85,F,U,1180.761,67,64.67786,0.056743067,0.05477642
85,M,N,891.6738,48,65.46394,0.053831345,0.073416915
85,M,S,612.9244,42,63.72218,0.068523948,0.103964176
85,M,U,2634.7849,179,227.18492,0.067937235,0.086225225
85,U,N,24.5805,0,1.35747,0,0.055225484
85,U,S,13.6809,0,1.18583,0,0.086677777
85,U,U,82.8082,2,6.65158,0.024152197,0.080325137
86,F,N,541.9329,21,26.8668,0.038750185,0.049575879
86,F,S,237.8849,15,19.39207,0.063055705,0.081518709
86,F,U,1370.0969,81,82.92844,0.059119906,0.060527427
86,M,N,736.5223,52,61.2816,0.070602071,0.083203998
86,M,S,489.4815,53,55.83124,0.108277841,0.114062002
86,M,U,2685.3951,173,256.42193,0.06442255,0.095487599
86,U,N,21.6097,0,1.57163,0,0.072727988
86,U,S,5.1514,1,0.50005,0.194121986,0.097070699
86,U,U,74.1511,5,6.84274,0.067429883,0.092281032
87,F,N,469.1183,18,26.50848,0.038369853,0.056507026
87,F,S,168.8654,12,15.02544,0.071062515,0.088978796
87,F,U,1028.866,63,69.31483,0.061232464,0.067370124
87,M,N,748.4873,56,68.96318,0.074817569,0.09213674
87,M,S,411.6016,35,51.0793,0.085033683,0.124098886
87,M,U,2407.3706,225,253.2774,0.093462967,0.105209144
87,U,N,26.3485,1,2.06508,0.037952825,0.078375619
87,U,S,12.5543,0,1.49295,0,0.118919414
87,U,U,92.4632,6,8.24848,0.064890681,0.089208247
88,F,N,365.941,24,22.01402,0.065584343,0.060157293
88,F,S,154.6166,14,14.63906,0.090546552,0.094679743
88,F,U,1057.6211,76,78.98343,0.071859383,0.074680271
88,M,N,520.4153,45,51.51866,0.086469402,0.098995283
88,M,S,362.7106,47,48.30502,0.129579891,0.133177856
88,M,U,2202.2871,223,252.00874,0.101258369,0.114430466
88,U,N,15.6861,2,1.39767,0.127501418,0.089102454
88,U,S,7.3036,1,0.81229,0.13691878,0.111217756
88,U,U,76.9288,7,8.12502,0.09099323,0.105617402
89,F,N,331.7365,20,22.26345,0.060288814,0.067111849
89,F,S,137.3892,8,13.99769,0.05822874,0.101883481
89,F,U,870.4471,64,71.20884,0.073525433,0.0818072
89,M,N,465.241,54,51.93004,0.116068876,0.111619655
89,M,S,354.9776,47,50.9678,0.132402721,0.143580327
89,M,U,1961.5208,216,248.16909,0.110118639,0.126518714
89,U,N,19.0316,1,1.65249,0.05254419,0.086828748
89,U,S,7.8449,2,0.94861,0.254942702,0.120920598
89,U,U,56.9664,4,6.08737,0.07021683,0.106858955
90,F,N,271.5743,14,20.70024,0.05155127,0.076223118
90,F,S,123.5659,11,14.02336,0.089021324,0.113488916
90,F,U,842.5453,53,74.20337,0.06290463,0.088070481
90,M,N,320.9758,32,39.93218,0.09969599,0.124408694
90,M,S,345.985,31,53.55265,0.08959926,0.154783155
